Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,Night_Usage,Social_to_Edu_Ratio,Gaming_to_Social_Ratio,Weekend_Overuse,Phone_Obsessiveness,Sleep_Deficit,Usage_Bin,Usage_Group,Anxiety_Class,Depression_Class,Anxiety_Level_Class,Depression_Level_Class
18,0,2,4.9,7.0,74,5,0.6,4,3,2,0,0.6,84,20,3.1,0.6,0.8,3,6,3.5,10.0,4.300000000000001,2.2777777777777777,0.39024390243902446,-1.4000000000000004,4.0,1.0,"(4, 6]",4–6,0,0,0,0
14,1,1,1.6,5.9,70,10,1.5,10,8,8,0,0.9,147,18,1.9,2.7,1.0,0,7,3.2,9.8,0.7000000000000001,1.45,1.2758620689655173,1.6,7.7368421052631575,2.0999999999999996,"(0, 2]",0–2,1,1,1,1
19,0,0,7.4,5.8,70,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,2,8,9.1,10.0,6.300000000000001,3.785714285714286,0.2641509433962264,1.6999999999999993,2.95,2.2,"(6, 8]",6–8,0,1,0,1
17,0,5,8.7,5.5,95,6,1.9,2,8,2,1,0.7,76,8,4.2,1.3,1.5,1,5,4.6,10.0,7.999999999999999,2.08,0.44230769230769224,-4.1,8.444444444444445,2.5,"(8, 10]",8–10,0,1,0,1
15,2,2,6.4,8.5,79,3,0.0,2,8,9,1,0.5,50,14,5.0,1.2,0.0,4,5,5.6,10.0,5.9,6.0,0.3666666666666667,-0.8000000000000007,3.3333333333333335,-0.5,"(6, 8]",6–8,0,1,0,1
19,2,1,4.4,6.6,97,6,1.6,8,10,4,1,1.2,134,17,2.2,1.5,1.8,1,4,6.8,10.0,3.2,1.142857142857143,0.78125,2.3999999999999995,7.444444444444445,1.4000000000000004,"(4, 6]",4–6,1,1,1,1
15,0,4,5.4,7.8,87,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,2,9,1.4,10.0,4.5,1.7142857142857142,0.6388888888888888,-4.0,1.7142857142857142,0.20000000000000018,"(4, 6]",4–6,1,1,1,1
15,2,0,3.0,6.1,80,5,1.4,1,4,2,1,1.2,95,16,3.0,1.9,0.2,3,7,7.5,10.0,1.8,3.3333333333333335,0.725,4.5,5.588235294117647,1.9000000000000004,"(2, 4]",2–4,0,0,0,0
19,0,5,7.9,8.5,96,6,0.1,5,2,4,1,1.0,58,9,2.2,1.9,1.3,1,5,3.5,10.0,6.9,1.3913043478260871,0.9062499999999999,-4.4,5.8,-0.5,"(6, 8]",6–8,0,0,0,0
18,1,2,5.4,5.9,69,4,1.3,2,7,8,0,0.6,83,19,1.6,1.0,0.4,0,7,6.1,10.0,4.800000000000001,1.8571428571428574,0.7692307692307692,0.6999999999999993,4.15,2.0999999999999996,"(4, 6]",4–6,0,1,0,1
15,0,2,3.0,5.1,83,4,1.1,1,9,4,1,1.5,58,6,1.7,1.7,2.0,4,8,6.7,6.2,1.5,0.9,1.0,3.7,8.285714285714286,2.9000000000000004,"(2, 4]",2–4,0,1,0,1
16,0,2,2.7,6.3,92,3,1.4,2,9,3,1,1.7,112,17,2.1,2.6,0.9,2,10,5.7,9.9,1.0000000000000002,1.6315789473684212,1.1612903225806452,3.0,6.222222222222222,1.7000000000000002,"(2, 4]",2–4,0,1,0,1
14,2,1,2.7,5.1,60,9,0.0,4,6,2,0,1.7,117,16,2.5,1.3,0.2,1,5,4.8,9.5,1.0000000000000002,2.916666666666667,0.6571428571428571,2.0999999999999996,6.882352941176471,2.9000000000000004,"(2, 4]",2–4,0,1,0,1
19,1,5,6.9,3.6,79,5,1.0,5,5,10,1,0.8,32,7,2.0,1.3,1.2,1,7,6.6,10.0,6.1000000000000005,1.3636363636363635,0.7666666666666666,-0.3000000000000007,4.0,4.4,"(6, 8]",6–8,0,0,0,0
19,2,2,4.6,7.2,85,7,1.3,7,6,4,0,1.1,71,5,1.8,0.8,1.1,4,8,6.2,6.0,3.4999999999999996,1.3333333333333333,0.6428571428571429,1.6000000000000005,11.833333333333334,0.7999999999999998,"(4, 6]",4–6,1,1,1,1
16,1,1,5.5,5.9,78,5,1.2,1,7,3,0,0.7,44,14,0.9,1.3,1.3,2,3,3.9,8.4,4.8,0.8260869565217391,1.2105263157894737,-1.6,2.933333333333333,2.0999999999999996,"(4, 6]",4–6,0,1,0,1
19,1,1,6.2,4.5,65,3,1.3,5,7,1,0,1.1,115,10,2.1,1.6,1.0,4,7,6.6,10.0,5.1,1.55,0.8387096774193549,0.39999999999999947,10.454545454545455,3.5,"(6, 8]",6–8,0,1,0,1
19,1,4,4.9,9.3,50,4,0.0,7,4,1,0,0.3,117,5,3.5,4.0,0.9,1,3,7.0,10.0,4.6000000000000005,2.368421052631579,1.1111111111111112,2.0999999999999996,19.5,-1.3000000000000007,"(4, 6]",4–6,1,0,1,0
17,0,0,6.6,8.1,77,7,1.0,6,1,3,1,1.5,147,14,2.0,1.7,1.6,1,8,9.2,10.0,5.1,1.1538461538461537,0.9,2.5999999999999996,9.8,-0.09999999999999964,"(6, 8]",6–8,1,0,1,0
19,2,1,8.6,5.2,63,0,1.1,6,4,8,0,1.3,72,15,0.2,1.8,0.7,0,9,6.6,10.0,7.3,0.7058823529411765,2.3333333333333335,-2.0,4.5,2.8,"(8, 10]",8–10,1,0,1,0
15,2,2,4.1,4.5,59,8,0.8,10,1,8,0,0.6,32,10,2.2,1.0,0.5,1,9,9.3,7.7,3.4999999999999996,2.1333333333333333,0.625,5.200000000000001,2.909090909090909,3.5,"(4, 6]",4–6,1,0,1,0
19,1,0,4.2,6.9,86,8,1.7,5,1,9,1,1.0,100,15,2.6,2.2,0.9,0,4,6.9,10.0,3.2,1.8947368421052633,0.888888888888889,2.7,6.25,1.0999999999999996,"(4, 6]",4–6,0,0,0,0
19,1,0,8.0,5.5,87,7,2.2,1,8,5,0,1.0,26,16,3.3,1.3,2.6,2,6,5.2,10.0,7.0,1.1944444444444444,0.5348837209302325,-2.8,1.5294117647058822,2.5,"(6, 8]",6–8,0,1,0,1
16,1,5,3.3,5.3,50,4,0.0,7,1,6,0,0.3,141,14,0.7,3.2,0.0,2,5,5.1,10.0,3.0,1.7,2.4705882352941178,1.7999999999999998,9.4,2.7,"(2, 4]",2–4,1,0,1,0
16,1,2,4.7,6.6,59,6,1.5,10,4,7,1,0.6,123,18,1.0,1.1,1.2,4,2,0.3,9.6,4.1000000000000005,0.9090909090909091,1.05,-4.4,6.473684210526316,1.4000000000000004,"(4, 6]",4–6,1,0,1,0
15,1,4,3.9,6.3,64,9,1.3,6,7,8,1,0.9,135,11,1.2,1.5,1.5,4,7,2.2,8.4,3.0,0.8800000000000001,1.1363636363636362,-1.6999999999999997,11.25,1.7000000000000002,"(2, 4]",2–4,1,1,1,1
13,0,4,4.4,6.8,62,8,1.4,2,1,10,0,1.7,66,7,0.9,0.0,0.0,0,1,6.9,4.6,2.7,1.9,0.5263157894736842,2.5,8.25,1.2000000000000002,"(4, 6]",4–6,0,0,0,0
13,1,5,8.3,6.2,65,9,1.3,5,6,8,1,1.3,144,5,2.3,0.0,1.5,3,1,2.9,10.0,7.000000000000001,1.3199999999999998,0.30303030303030304,-5.4,24.0,1.7999999999999998,"(8, 10]",8–10,0,1,0,1
16,2,5,7.4,6.9,67,0,1.7,6,6,8,0,1.6,117,16,1.6,0.7,0.7,4,8,4.6,10.0,5.800000000000001,1.5294117647058825,0.6538461538461539,-2.8000000000000007,6.882352941176471,1.0999999999999996,"(6, 8]",6–8,1,1,1,1
16,0,2,1.7,6.8,68,9,0.8,5,9,1,1,0.7,107,18,2.4,0.6,0.0,1,6,6.2,7.0,1.0,3.4,0.4705882352941177,4.5,5.631578947368421,1.2000000000000002,"(0, 2]",0–2,0,1,0,1
13,2,4,6.2,8.3,77,1,0.4,7,2,4,0,1.1,141,5,3.8,1.4,0.9,0,8,6.2,10.0,5.1,2.526315789473684,0.5,0.0,23.5,-0.3000000000000007,"(6, 8]",6–8,1,0,1,0
19,2,2,5.2,7.2,96,5,0.1,4,10,3,0,0.7,119,16,3.0,1.7,0.6,2,3,6.1,10.0,4.5,2.5,0.675,0.8999999999999995,7.0,0.7999999999999998,"(4, 6]",4–6,0,1,0,1
15,2,1,3.3,5.3,89,7,0.0,9,6,9,0,0.3,77,18,1.1,1.0,0.0,2,9,10.4,7.9,3.0,2.1,0.9523809523809523,7.1000000000000005,4.052631578947368,2.7,"(2, 4]",2–4,1,1,1,1
13,1,1,6.9,6.2,89,4,1.1,3,2,7,1,0.3,140,13,3.0,1.9,0.7,2,9,4.1,10.0,6.6000000000000005,2.3529411764705883,0.725,-2.8000000000000007,10.0,1.7999999999999998,"(6, 8]",6–8,0,0,0,0
13,1,5,6.6,5.0,88,8,2.1,10,7,10,0,2.0,56,20,2.1,1.4,0.4,1,9,6.2,10.0,4.6,2.2142857142857144,0.7741935483870968,-0.39999999999999947,2.6666666666666665,3.0,"(6, 8]",6–8,1,1,1,1
18,0,4,1.0,6.2,60,5,1.4,6,3,10,0,0.4,25,16,3.1,0.0,2.0,2,4,5.8,4.7,0.6,1.3666666666666665,0.24390243902439027,4.8,1.4705882352941178,1.7999999999999998,"(0, 2]",0–2,1,0,1,0
17,1,4,6.7,4.7,67,3,1.3,10,1,3,0,0.8,129,6,2.8,0.8,1.7,2,7,9.9,10.0,5.9,1.4074074074074072,0.4736842105263158,3.2,18.428571428571427,3.3,"(6, 8]",6–8,1,0,1,0
19,2,1,7.1,7.1,67,2,0.4,1,1,4,0,2.6,119,16,2.8,2.4,0.0,2,4,5.3,10.0,4.5,3.8,0.8947368421052632,-1.7999999999999998,7.0,0.9000000000000004,"(6, 8]",6–8,0,0,0,0
18,1,3,4.7,6.5,69,6,1.5,10,3,1,0,1.3,119,5,3.4,1.0,0.0,2,10,4.7,9.2,3.4000000000000004,4.4,0.45454545454545453,0.0,19.833333333333332,1.5,"(4, 6]",4–6,1,0,1,0
14,1,1,8.1,7.2,91,6,1.4,8,7,8,1,0.3,120,13,1.4,2.2,1.9,1,9,6.0,10.0,7.8,0.8275862068965517,1.3333333333333335,-2.0999999999999996,8.571428571428571,0.7999999999999998,"(8, 10]",8–10,1,1,1,1
14,1,5,4.3,5.9,75,4,2.5,5,1,8,1,2.2,105,17,1.9,1.4,1.4,3,1,3.1,10.0,2.0999999999999996,1.2083333333333333,0.8275862068965517,-1.1999999999999997,5.833333333333333,2.0999999999999996,"(4, 6]",4–6,0,0,0,0
17,1,1,3.9,8.4,97,3,0.5,1,7,8,0,1.2,66,13,4.3,1.6,1.0,1,6,4.9,9.5,2.7,2.65,0.4905660377358491,1.0000000000000004,4.714285714285714,-0.40000000000000036,"(2, 4]",2–4,0,1,0,1
13,2,5,9.0,7.3,79,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,0.0,1,1,6.9,10.0,8.2,4.1,0.6097560975609757,-2.0999999999999996,7.055555555555555,0.7000000000000002,"(8, 10]",8–10,0,0,0,0
15,2,4,4.5,7.8,93,5,1.0,7,7,2,1,1.3,83,17,2.6,1.2,2.4,1,8,6.0,9.5,3.2,1.0588235294117647,0.6111111111111112,1.5,4.611111111111111,0.20000000000000018,"(4, 6]",4–6,1,1,1,1
14,2,1,4.4,4.1,56,9,1.7,7,7,1,1,0.8,129,16,4.9,1.4,0.6,3,10,6.1,10.0,3.6000000000000005,3.6875,0.4067796610169491,1.6999999999999993,7.588235294117647,3.9000000000000004,"(4, 6]",4–6,1,1,1,1
19,2,2,5.9,8.5,87,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,4,2,6.5,8.3,4.4,2.3529411764705883,0.625,0.5999999999999996,6.857142857142857,-0.5,"(4, 6]",4–6,0,1,0,1
17,2,0,3.3,6.1,78,2,3.6,2,9,9,1,1.2,141,17,1.9,1.0,0.2,1,8,5.1,9.4,2.0999999999999996,2.4166666666666665,0.6896551724137931,1.7999999999999998,7.833333333333333,1.9000000000000004,"(2, 4]",2–4,0,1,0,1
15,0,2,2.9,5.5,71,1,1.1,9,2,1,1,0.9,117,10,2.0,1.6,1.3,2,7,4.6,8.1,2.0,1.3043478260869565,0.8666666666666667,1.6999999999999997,10.636363636363637,2.5,"(2, 4]",2–4,1,0,1,0
17,1,1,3.4,4.7,79,10,0.9,8,4,5,0,0.6,123,6,3.0,1.7,0.7,3,5,7.6,9.4,2.8,2.3529411764705883,0.675,4.199999999999999,17.571428571428573,3.3,"(2, 4]",2–4,1,0,1,0
17,0,3,6.3,7.4,77,8,1.6,4,4,10,0,1.4,110,8,3.7,1.5,1.9,2,1,3.1,10.0,4.9,1.620689655172414,0.5319148936170213,-3.1999999999999997,12.222222222222221,0.5999999999999996,"(6, 8]",6–8,0,0,0,0
19,1,0,3.7,7.9,89,9,0.7,8,7,7,0,0.3,92,7,0.9,2.1,0.9,1,7,2.0,6.0,3.4000000000000004,1.0,1.6315789473684212,-1.7000000000000002,11.5,0.09999999999999964,"(2, 4]",2–4,1,1,1,1
18,1,3,4.7,6.9,77,7,0.9,6,10,1,0,1.0,105,12,0.7,1.3,0.0,1,8,8.3,7.8,3.7,1.7,1.352941176470588,3.6000000000000005,8.076923076923077,1.0999999999999996,"(4, 6]",4–6,1,1,1,1
17,2,4,6.7,7.9,54,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,1,9,7.9,9.7,6.5,1.3333333333333335,0.7187499999999999,1.2000000000000002,8.4,0.09999999999999964,"(6, 8]",6–8,1,1,1,1
18,0,2,5.3,7.7,63,1,2.2,10,6,4,1,0.7,135,6,1.7,2.4,1.6,3,9,5.7,9.4,4.6,1.0384615384615385,1.259259259259259,0.40000000000000036,19.285714285714285,0.2999999999999998,"(4, 6]",4–6,1,1,1,1
17,1,2,8.7,5.2,87,5,0.0,4,8,2,1,1.2,146,10,4.0,0.6,0.4,2,6,5.9,10.0,7.499999999999999,3.5714285714285716,0.32,-2.799999999999999,13.272727272727273,2.8,"(8, 10]",8–10,0,1,0,1
17,2,5,3.9,8.0,80,3,1.5,4,5,10,0,0.3,41,11,2.6,0.0,1.1,4,2,5.7,5.5,3.6,1.7142857142857142,0.2777777777777778,1.8000000000000003,3.4166666666666665,0.0,"(2, 4]",2–4,0,0,0,0
16,0,0,7.4,6.6,100,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,3,9,9.3,10.0,6.1000000000000005,1.9375,0.5806451612903226,1.9000000000000004,4.5,1.4000000000000004,"(6, 8]",6–8,0,0,0,0
18,0,1,6.8,10.0,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1.0,2.0,4,10,7.6,9.8,5.1,1.1333333333333333,0.5882352941176471,0.7999999999999998,4.235294117647059,-2.0,"(6, 8]",6–8,1,1,1,1
18,0,4,7.0,8.0,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,2,5,1.8,9.7,6.3,1.8571428571428574,0.6153846153846154,-5.2,13.3,0.0,"(6, 8]",6–8,1,0,1,0
16,1,4,5.8,7.2,88,5,1.0,9,9,2,0,0.7,30,15,2.6,0.7,0.5,0,10,9.7,9.1,5.1,2.4,0.4722222222222222,3.8999999999999995,1.875,0.7999999999999998,"(4, 6]",4–6,1,1,1,1
17,2,2,4.1,5.5,67,2,0.2,1,7,4,1,0.5,120,16,4.3,2.1,2.0,0,8,11.0,10.0,3.5999999999999996,1.7666666666666666,0.5849056603773585,6.9,7.0588235294117645,2.5,"(4, 6]",4–6,0,1,0,1
19,2,2,4.9,4.4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,3,2,4.2,10.0,4.0,2.3333333333333335,0.6285714285714287,-0.7000000000000002,5.625,3.5999999999999996,"(4, 6]",4–6,1,1,1,1
18,1,2,4.4,6.6,95,3,1.1,8,1,3,1,0.6,91,15,2.2,1.6,0.8,1,1,3.9,9.7,3.8000000000000003,1.777777777777778,0.8125,-0.5000000000000004,5.6875,1.4000000000000004,"(4, 6]",4–6,1,0,1,0
19,1,4,6.3,3.0,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,3,6,8.5,10.0,5.7,4.454545454545454,0.42857142857142855,2.2,6.857142857142857,5.0,"(6, 8]",6–8,0,0,0,0
15,1,5,5.8,6.9,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,4,6,5.5,10.0,5.3,1.64,0.5365853658536587,-0.2999999999999998,13.25,1.0999999999999996,"(4, 6]",4–6,0,1,0,1
13,0,4,6.5,7.2,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2.0,1.1,2,9,8.7,10.0,5.4,1.7142857142857142,0.8333333333333333,2.1999999999999993,10.571428571428571,0.7999999999999998,"(6, 8]",6–8,1,1,1,1
17,0,5,5.8,7.0,76,8,1.7,5,5,5,1,1.7,116,19,3.0,2.2,2.2,1,9,3.3,10.0,4.1,1.25,0.8,-2.5,5.8,1.0,"(4, 6]",4–6,0,0,0,0
19,2,3,5.1,7.0,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,2,2,7.7,7.6,3.3999999999999995,0.7894736842105263,1.8,2.6000000000000005,23.333333333333332,1.0,"(4, 6]",4–6,1,1,1,1
13,2,4,5.2,6.0,87,0,0.8,1,5,8,1,1.6,79,11,4.2,0.0,1.2,2,6,3.7,10.0,3.6,2.3636363636363633,0.1923076923076923,-1.5,6.583333333333333,2.0,"(4, 6]",4–6,0,0,0,0
13,1,1,4.8,8.6,78,8,0.0,3,3,10,1,1.0,51,9,3.0,2.4,1.6,4,7,7.1,8.7,3.8,1.5384615384615383,0.85,2.3,5.1,-0.5999999999999996,"(4, 6]",4–6,0,0,0,0
19,1,1,4.3,4.3,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,4,8,5.2,8.3,3.4,2.4615384615384617,0.5,0.9000000000000004,12.25,3.7,"(4, 6]",4–6,1,1,1,1
19,0,3,7.6,6.4,88,4,0.0,6,4,8,0,1.8,77,15,4.6,0.0,0.0,2,7,7.1,10.0,5.8,5.6,0.17857142857142858,-0.5,4.8125,1.5999999999999996,"(6, 8]",6–8,1,0,1,0
17,0,3,5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,0,4,6.2,7.6,5.1,2.166666666666667,0.8076923076923077,0.7000000000000002,11.714285714285714,1.0999999999999996,"(4, 6]",4–6,1,1,1,1
15,2,0,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,4.8,1.3,1.2,4,8,5.3,10.0,3.6999999999999997,2.6363636363636362,0.396551724137931,0.5,11.333333333333334,1.7000000000000002,"(4, 6]",4–6,0,1,0,1
19,2,5,7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,0.0,4,1,7.6,10.0,7.1000000000000005,3.9,1.0,0.1999999999999993,8.5,1.7000000000000002,"(6, 8]",6–8,1,1,1,1
16,1,2,3.8,5.1,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,4,9,9.3,7.6,3.1999999999999997,1.2173913043478262,0.5357142857142857,5.500000000000001,9.454545454545455,2.9000000000000004,"(2, 4]",2–4,1,1,1,1
13,2,0,7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,3,1,4.1,10.0,6.1,1.6842105263157896,0.9375,-3.2,1.8333333333333333,2.4000000000000004,"(6, 8]",6–8,0,0,0,0
19,0,4,0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,2.2,0.2,1.3,3,3,5.3,5.7,0.29999999999999993,1.3913043478260871,0.37499999999999994,4.6,13.272727272727273,3.4000000000000004,"(0, 2]",0–2,1,0,1,0
14,1,1,3.0,6.6,82,0,0.8,1,3,3,0,0.6,84,6,3.7,2.3,1.0,3,9,6.7,8.6,2.4,2.35,0.702127659574468,3.7,12.0,1.4000000000000004,"(2, 4]",2–4,0,0,0,0
19,2,2,4.0,7.4,83,3,0.3,10,4,4,0,0.6,55,18,4.1,0.8,0.0,2,3,7.4,9.9,3.4,5.1,0.35294117647058826,3.4000000000000004,2.8947368421052633,0.5999999999999996,"(2, 4]",2–4,1,0,1,0
16,2,2,8.1,6.8,59,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,3,1,5.1,10.0,7.5,0.6799999999999999,2.058823529411765,-3.0,16.125,1.2000000000000002,"(8, 10]",8–10,1,0,1,0
17,1,2,5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,3,5,8.1,10.0,4.7,1.7,0.7058823529411765,2.8999999999999995,5.764705882352941,1.4000000000000004,"(4, 6]",4–6,1,1,1,1
18,2,3,1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,1.1,1.9,0.7,4,7,6.5,6.5,0.3999999999999999,1.2352941176470589,1.380952380952381,4.8,4.222222222222222,1.7999999999999998,"(0, 2]",0–2,0,0,0,0
15,1,4,6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,4,5,6.8,10.0,4.9,3.058823529411765,0.5,0.0,10.25,0.5999999999999996,"(6, 8]",6–8,1,1,1,1
18,0,5,6.4,10.0,89,0,1.2,9,9,8,0,0.5,128,9,4.1,3.2,1.4,1,2,4.6,10.0,5.9,2.125,0.823529411764706,-1.8000000000000007,12.8,-2.0,"(6, 8]",6–8,1,1,1,1
17,1,5,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,4,4,2.3,10.0,6.5,3.1999999999999997,0.3125,-4.9,9.333333333333334,0.5999999999999996,"(6, 8]",6–8,0,0,0,0
18,0,0,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,3,10,6.6,10.0,3.1999999999999997,3.538461538461538,0.47826086956521746,3.3,4.0,2.3,"(2, 4]",2–4,1,1,1,1
16,1,4,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,4,8,6.2,8.2,4.6000000000000005,2.923076923076923,0.6052631578947368,1.5,1.1764705882352942,-0.5,"(4, 6]",4–6,0,0,0,0
18,0,5,2.8,7.0,93,5,0.8,4,5,2,0,1.5,42,6,2.8,1.0,0.6,4,10,8.2,5.1,1.2999999999999998,2.3749999999999996,0.5263157894736842,5.3999999999999995,6.0,1.0,"(2, 4]",2–4,0,0,0,0
16,0,4,6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,3,7,6.7,8.8,5.7,1.3,1.346153846153846,0.5,1.8461538461538463,-0.6999999999999993,"(6, 8]",6–8,1,1,1,1
17,1,5,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,2.1,3.5,1.5,0,8,5.7,10.0,6.5,1.24,1.4516129032258065,-1.0,4.9,-0.5,"(6, 8]",6–8,1,1,1,1
14,2,4,2.2,5.1,69,7,1.0,6,3,8,1,1.3,24,16,2.6,2.2,1.1,3,9,7.6,8.1,0.9000000000000001,1.7142857142857142,0.888888888888889,5.3999999999999995,1.411764705882353,2.9000000000000004,"(2, 4]",2–4,1,0,1,0
13,0,1,4.1,6.3,57,3,2.0,5,3,7,0,0.4,78,13,1.7,2.2,0.3,2,3,5.8,9.0,3.6999999999999997,2.076923076923077,1.1851851851851851,1.7000000000000002,5.571428571428571,1.7000000000000002,"(4, 6]",4–6,0,0,0,0
13,1,1,5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.3,2.6,0.9,1,8,8.9,10.0,4.3999999999999995,1.736842105263158,1.090909090909091,3.6000000000000005,6.533333333333333,2.0999999999999996,"(4, 6]",4–6,1,0,1,0
18,0,4,4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0.0,0.0,1,7,6.7,6.6,3.2,1.1,0.9090909090909091,2.0,8.7,4.6,"(4, 6]",4–6,1,0,1,0
19,2,0,4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,2,4,7.4,8.0,3.7,1.8947368421052633,0.5555555555555556,2.9000000000000004,5.666666666666667,0.5999999999999996,"(4, 6]",4–6,1,0,1,0
13,1,3,5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0.0,1.5,2,7,6.6,7.1,4.199999999999999,1.24,0.3225806451612903,1.0,5.5,2.2,"(4, 6]",4–6,0,0,0,0
